City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
157,Cabo San Lucas,MX,77.0,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
169,Buala,SB,81.01,light rain,-8.14,159.59,Maringe Lagoon Lodge
171,Airai,TL,77.92,clear sky,-8.93,125.41,Juvinal Martin
172,Ahuimanu,US,84.2,broken clouds,21.44,-157.84,Paradise Bay Resort
173,San Cristobal,VE,80.6,scattered clouds,7.77,-72.22,Pirineos
175,Carnarvon,AU,77.0,broken clouds,-24.87,113.63,Hospitality Carnarvon
181,Praia,CV,78.8,few clouds,14.92,-23.51,LT Aparthotel
185,Faanui,PF,80.22,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
189,Buchanan,LR,77.0,scattered clouds,5.88,-10.05,Kamaneahn Hotel Inc
190,Atar,MR,79.97,broken clouds,20.52,-13.05,Oumou Elghoura
191,Makakilo City,US,84.2,overcast clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
195,Atambua,ID,87.84,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
196,Wembley,AU,89.01,clear sky,-31.93,115.8,Quest on Rheola
200,Salvacion,PH,84.27,overcast clouds,7.98,126.13,
201,Dalby,AU,89.01,clear sky,-27.18,151.27,Kobbers Motor Inn Dalby
202,Miri,MY,87.8,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
208,Kudahuvadhoo,MV,82.53,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
209,Puerto Escondido,MX,78.8,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
213,Padang,ID,85.75,scattered clouds,-0.95,100.35,Mercure Padang
216,Dicabisagan,PH,81.37,moderate rain,17.08,122.42,Nancy Montanes Bernardo
217,Tupang,PH,82.4,heavy intensity rain,17.92,121.64,
218,Dakar,SN,78.8,clear sky,14.69,-17.44,Novotel Dakar
225,Touros,BR,77.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
226,Esmeraldas,BR,75.2,clear sky,-19.76,-44.31,Hotel Fazenda Lagoa Azul
227,Hobyo,SO,79.02,overcast clouds,5.35,48.53,Osmani Hotel
230,Narasaraopet,IN,75.15,overcast clouds,16.25,80.07,AT International Lodge
234,San Ignacio,BZ,79.0,broken clouds,17.16,-89.07,Rainforest Haven Inn
235,Sao Filipe,CV,80.24,clear sky,14.9,-24.5,Tortuga B&B
