City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Souillac,MU,2020-10-30 02:18:39,-20.52,57.52,66.99,65,27,5.99,light rain
163,Henties Bay,NA,2020-10-30 02:25:31,-22.12,14.28,55.0,90,9,1.01,clear sky
164,Las Cruces,US,2020-10-30 02:21:55,32.31,-106.78,54.0,53,1,4.7,clear sky
165,Beloha,MG,2020-10-30 02:25:31,-25.17,45.05,65.66,79,0,11.74,clear sky
166,Bereznik,RU,2020-10-30 02:25:32,62.86,42.71,46.38,94,100,7.58,light rain
167,Saskylakh,RU,2020-10-30 02:17:48,71.92,114.08,-0.15,84,47,6.13,scattered clouds
168,Aklavik,CA,2020-10-30 02:25:33,68.22,-135.01,9.23,92,35,6.71,scattered clouds
169,Buala,SB,2020-10-30 02:25:33,-8.14,159.59,81.01,79,100,9.08,light rain
170,Leningradskiy,RU,2020-10-30 02:22:33,69.38,178.42,17.29,88,51,13.87,broken clouds
171,Airai,TL,2020-10-30 02:17:57,-8.93,125.41,77.92,48,0,2.62,clear sky
172,Ahuimanu,US,2020-10-30 02:25:34,21.44,-157.84,84.2,48,75,6.93,broken clouds
173,San Cristobal,VE,2020-10-30 02:18:18,7.77,-72.22,80.6,74,40,2.24,scattered clouds
174,Dornoch,GB,2020-10-30 02:25:34,57.88,-4.03,57.2,87,75,16.11,broken clouds
175,Carnarvon,AU,2020-10-30 02:17:47,-24.87,113.63,77.0,69,75,14.99,broken clouds
176,Sur,OM,2020-10-30 02:25:34,22.57,59.53,71.92,67,0,6.89,clear sky
177,Anadyr,RU,2020-10-30 02:19:33,64.75,177.48,12.2,85,0,4.47,clear sky
178,Pozo Colorado,PY,2020-10-30 02:25:35,-23.49,-58.8,67.66,65,0,7.52,clear sky
179,Novyy Urengoy,RU,2020-10-30 02:18:03,66.08,76.63,6.55,95,92,8.88,overcast clouds
180,Ossora,RU,2020-10-30 02:19:17,59.24,163.07,35.2,87,95,5.57,overcast clouds
181,Praia,CV,2020-10-30 02:18:26,14.92,-23.51,78.8,78,20,17.22,few clouds
182,Goundi,TD,2020-10-30 02:25:36,9.36,17.37,73.67,74,1,4.74,clear sky
183,Jardim Do Serido,BR,2020-10-30 02:25:36,-6.58,-36.77,73.83,68,39,23.62,scattered clouds
184,Lebu,CL,2020-10-30 02:19:32,-37.62,-73.65,52.34,83,71,17.74,broken clouds
185,Faanui,PF,2020-10-30 02:18:06,-16.48,-151.75,80.22,79,0,9.98,clear sky
186,Xiamen,CN,2020-10-30 02:25:37,24.48,118.08,73.4,56,75,13.42,broken clouds
187,Barcelos,PT,2020-10-30 02:25:37,41.54,-8.62,57.2,87,90,6.93,overcast clouds
188,Wegrow,PL,2020-10-30 02:25:37,52.4,22.02,46.99,89,53,8.57,broken clouds
